original_title,release_date
The Hitchhiker's Guide to the Galaxy,england
The Imitation Game,england
The Man with the Golden Gun,england
The Riot Club,england
Tomorrow Never Dies,england
Village of the Damned,england
What a Girl Wants,england
Wild Child,england
Paycheck,engineer
Extraterrestrial,engagement
Ballistic: Ecks vs. Sever,enemy
S. Darko,end of the world
Take Shelter,end of the world
Bewitched,enchantment
Amelia,empowerment
Howards End,empowerment
Scorched,employee
The Animal,employee
Dungeons & Dragons,emperor
Jodhaa Akbar,emperor
Last Knights,emperor
Lissi und der wilde Kaiser,emperor
Return of the Jedi,emperor
The Last Legion,emperor
Kurt & Courtney,embryo
The Year of Living Dangerously,embassy
Bubba Ho-tep,elvis presley
Bad Santa,elves
Saving Santa,elves
The Hobbit: An Unexpected Journey,elves
The Hobbit: The Battle of the Five Armies,elves
Water for Elephants,elephant trainer
Horton Hears a Who!,elephant
Slipp Jimmy Fri,elephant
An Invisible Sign,elementary school
Cooties,elementary school
Recess: School's Out,elementary school
Accepted,electro shock
Barb Wire,electrical torture
Bob Roberts,election campaign
Mr. Peabody & Sherman,egypt
Prisoners of the Sun,egypt
Partly Cloudy,eel
The Miracle Worker,education
The Cutting Edge: The Magic of Movie Editing,editing
The Prime of Miss Jean Brodie,edinburgh
The Pit and the Pendulum,edgar allen poe
The Tomb of Ligeia,edgar allan poe
Dirty Love,ecstasy
Spike Island,ecstasy
Up in Smoke,ecstasy
The Girlfriend Experience,economy
Master of the Universe,economics
Requiem for the American Dream,economics
All About Steve,eccentric
Human Trafficking,eastern europe
Octopussy,eastern block
Pirates of the Caribbean: The Curse of the Black Pearl,east india trading company
Torn Curtain,east germany
Cockneys vs Zombies,east end of london
Double Dragon,earthquake
Grand Canyon,earthquake
Flesh Gordon,earth
Racing Extinction,earth
Blue Velvet,ear
Manborg,dystopic future
Power/Rangers,dystopic future
20 Years After,dystopia
After Earth,dystopia
Battle for the Planet of the Apes,dystopia
Beneath the Planet of the Apes,dystopia
Class of 1999,dystopia
Death Race,dystopia
Delirium,dystopia
Divergent,dystopia
Kim Possible: A Sitch in Time,dystopia
La Antena,dystopia
Land of the Dead,dystopia
Le procÃ¨s,dystopia
Maggie,dystopia
Metropia,dystopia
Oblivion,dystopia
Pacific Rim,dystopia
Pitch Black,dystopia
Pleasantville,dystopia
Punishment Park,dystopia
Repo Men,dystopia
Resident Evil: Afterlife,dystopia
Resident Evil: Retribution,dystopia
RoboCop 3,dystopia
Soylent Green,dystopia
Surrogates,dystopia
TEKKEN,dystopia
TEKKEN,dystopia
TRON: Legacy,dystopia
The Day,dystopia
The Hunger Games,dystopia
The Machine,dystopia
The Man Who Fell to Earth,dystopia
The Omega Man,dystopia
The Purge,dystopia
The Road,dystopia
The Zero Theorem,dystopia
Total Recall,dystopia
Warm Bodies,dystopia
Ã†on Flux,dystopia
Eulogy,dysfunctional family
Fierce People,dysfunctional family
Mommy,dysfunctional family
The Seeker: The Dark Is Rising,dynasty
Bill & Ted's Bogus Journey,dying and death
Final Destination 3,dying and death
Flags of Our Fathers,dying and death
Maximum Risk,dying and death
Mighty Joe Young,dying and death
Personal Effects,dying and death
Premonition,dying and death
Switch,dying and death
Tamara,dying and death
The Final Destination,dying and death
SAGA - Curse of the Shadow,dwarves
The Hobbit: The Desolation of Smaug,dwarves
The Lord of the Rings,dwarves
The Lord of the Rings: The Fellowship of the Ring,dwarves
Sita Sings the Blues,duty
The Princess Diaries 2: Royal Engagement,duty
Ocean's Twelve,dutch eastindian company
"The Goods: Live Hard,duringcreditsstinger
Austenland,duringcreditsstinger
Casino Jack,duringcreditsstinger
Catch .44,duringcreditsstinger
Crazy on the Outside,duringcreditsstinger
Delta Farce,duringcreditsstinger
Draft Day,duringcreditsstinger
Fame,duringcreditsstinger
Father of Invention,duringcreditsstinger
Furry Vengeance,duringcreditsstinger
G-Force,duringcreditsstinger
Halo 4: Forward Unto Dawn,duringcreditsstinger
Hick,duringcreditsstinger
I Can Do Bad All By Myself,duringcreditsstinger
MacGruber,duringcreditsstinger
Machine Gun Preacher,duringcreditsstinger
Paul Blart: Mall Cop,duringcreditsstinger
Rubber,duringcreditsstinger
Run Ronnie Run,duringcreditsstinger
Rush Hour 2,duringcreditsstinger
Sparkle,duringcreditsstinger
Step Up 3D,duringcreditsstinger
The Aristocrats,duringcreditsstinger
The Killing Room,duringcreditsstinger
The Master of Disguise,duringcreditsstinger
The Santa Clause 3: The Escape Clause,duringcreditsstinger
The Sitter,duringcreditsstinger
The Spy Next Door,duringcreditsstinger
The Three Stooges,duringcreditsstinger
The Big Lebowski,dude
Looney Tunes: Back in Action,duck
Albert Nobbs,dublin
Fight Club,dual identity
Guyver: Dark Hero,dual identity
Salton Sea,dual identity
The New Guy,dual identity
The Rocker,drums
Bird on a Wire,drugs and addiction
Foxy Brown,drug use
The Shepherd: Border Patrol,drug trafficking
Fresh,drug traffic
Layer Cake,drug traffic
The Mod Squad,drug traffic
Inner Demons,drug rehab
Clockers,drug pusher
Darkman III: Die Darkman Die,drug lord
The Lookalike,drug lord
Ambushed,drug dealing
Go,drug dealing
Clubbed,drug dealer
Cocaine Cowboys,drug dealer
Homefront,drug dealer
Judgment Night,drug dealer
Lionheart,drug dealer
Tequila Sunrise,drug dealer
Torque,drug dealer
A Low Down Dirty Shame,drug crime
Gun Shy,drug cartel
Amy,drug addiction
August: Osage County,drug addiction
Bad Lieutenant,drug addiction
Gridlock'd,drug addiction
Straight A's,drug addiction
THX 1138,drug addiction
Trainspotting,drug addiction
Casino,drug abuse
InAPPropriate Comedy,drug abuse
Slackers,drug abuse
Dead Man on Campus,drug
Deep Web,drug
Fire Birds,drug
High School,drug
The Mule,drug
Bag of Bones,drowning
Friday the 13th,drowning
Gray Lady Down,drowning
Open Water 2: Adrift,drowning
Sinister,drowning
Tormented,drowning
Stand and Deliver,drop-out
Eye in the Sky,drone
Blue Ruin,drifter
Five Easy Pieces,drifter
Squatters,drifter
Slaughterhouse-Five,dresden
The Many Adventures of Winnie the Pooh,dream sequence
Black Moon,dream
Fiddler on the Roof,dream
Inception,dream
Jabberwocky,dream
K-PAX,dream
Leningrad Cowboys Go America,dream
Little Manhattan,dream
MirrorMask,dream
Narco,dream
Of Mice and Men,dream
Ruby Sparks,dream
Slacker,dream
The Gift,dream
The Draughtsman's Contract,drawing and painting
Archangel,drama
Lake Mungo,drama
Marvellous,drama
Meu Nome NÃ£o Ã‰ Johnny,drama
Wuthering Heights,drama
Any Day Now,drag queen
Nothing but Trouble,drag queen
Sorority Boys,drag
"Nachts,dracula
Dracula 2000,dracula
Dracula Untold,dracula
Shadow of the Vampire,dracula
Taste the Blood of Dracula,dracula
The Monster Squad,dracula
The Satanic Rites of Dracula,dracula
A History of Violence,double life
The Boston Strangler,double life
Undercover Brother,double life
The Double,double
Free to Play,dota 2
Monsters University,dormitory
Faces of Death,doomed man
The Chamber,doomed man
The Tigger Movie,donkey
Ace Ventura: Pet Detective,dolphin
Jaws 3,dolphin
Bubble,doll factory
Dead Silence,doll
Sweet November,dogsitter
Balto,dog-sledding race
Lethal Weapon 3,dog biscuit
Air Bud 3: World Pup,dog
All Dogs Go to Heaven 2,dog
Bad Moon,dog
Dug's Special Mission,dog
Firehouse Dog,dog
The Fox and the Hound 2,dog
The Plague Dogs,dog
The Odd Life of Timothy Green,dodgeball
Keep the Lights On,documentary footage
Keith Richards: Under the Influence,documentary
Richard Pryor: Omit the Logic,documentary
Everybody's Fine,doctor
Fear Clinic,doctor
October Gale,doctor
Stonehearst Asylum,doctor
The Grand Seduction,doctor
Jurassic Park,dna
Jurassic World,dna
The Lost World: Jurassic Park,dna
The First Wives Club,divorced woman
Arctic Blast,divorce
Clouds of Sils Maria,divorce
Nothing in Common,divorce
The Women,divorce
Deep Blue,diving
Men of Honor,diving
The Deep,diving
The Jewel of the Nile,diving
Shallow Grave,distrust
Get a Horse!,disney short
How to Hook Up Your Home Theater,disney short
John Henry,disney short
The Assassination of Richard Nixon,disillusion
Jackass Number Two,disgust
Twelfth Night,disguise
The Colour of Magic,discworld
Death Proof,disc jockey
Fearless,disaster
Meteor,disaster
Threads,disaster
Jumanji,disappearance
The Woods,disappearance
Premium Rush,dirty cop
Vehicle 19,dirty cop
Lost in La Mancha,director
The Constant Gardener,diplomat
Age of Dinosaurs,dinosaur
Jurassic City,dinosaur
Land of the Lost,dinosaur
My Science Project,dinosaur
The Dinosaur Project,dinosaur
The Land Before Time VII: The Stone of Cold Fire,dinosaur
The Land Before Time XI: Invasion of the Tinysauruses,dinosaur
The Land That Time Forgot,dinosaur
The Lost World,dinosaur
The Valley of Gwangi,dinosaur
Walking With Dinosaurs,dinosaur
Among Friends,dinner
Neighbors,dinner
5 Days of War,digit in title
Happy Feet Two,digit in title
Sammy's avonturen: De geheime doorgang,digit in title
Matilda,difficult childhood
In the Time of the Butterflies,dictatorship
Going Overboard,dictator
Iron Eagle,dictator
Salvador,dictator
The Interpreter,dictator
The Curious Case of Benjamin Button,diary
Flawless,diamond mine
Man on a Ledge,diamond heist
Blue Streak,diamant
Cradle 2 the Grave,diamant
Don't Say a Word,diamant
Money Talks,diamant
The Rescuers Down Under,diamant
The Return of the Pink Panther,diamant
It's Alive,devil
S.W.A.T.: Firefight,detroit michigan
Life of Crime,detroit
Bad Kids Go to Hell,detention
A Scanner Darkly,detective
Abandon,detective
Bad Boys,detective
Beverly Hills Cop II,detective
Case 39,detective
Chain of Fools,detective
Cruising,detective
Cube 2: Hypercube,detective
Death Wish 2,detective
F/X,detective
Faces in the Crowd,detective
French Connection II,detective
I Heart Huckabees,detective
In the Valley of Elah,detective
L.A. Confidential,detective
Mr. Holmes,detective
Nancy Drew,detective
Se7en,detective
Sin City: A Dame to Kill For,detective
Sisters,detective
The Dead Pool,detective
The General's Daughter,detective
The Hoarder,detective
The Thief Lord,detective
Trail of the Pink Panther,detective
Without a Clue,detective
Witness,detective
Shooting Dogs,destruction of a civilization
Tank Girl,destroy
DragonHeart,despot
Fun with Dick and Jane,desperation
High Plains Drifter,desperation
Starry Eyes,desperation
127 Hours,despair
Pleasure or Pain,designer
The Hills Have Eyes Part II,desert
Little Women,depression
Ordinary People,depression
Snow Angels,depression
The Savages,depression
Labor Day,depressed mom
The Proposal,deportation
Gigantic,department store
Mannequin Two: On the Move,department store
Simply Irresistible,department store
The Toy,department store
Hamlet,denmark
The Danish Girl,denmark
Paranormal Entity,demonic possession
Deliver Us from Evil,demon
DÃ¨moni 2,demon
Ghoulies,demon
Hellraiser: Revelations,demon
Paranormal Activity: The Marked Ones,demon
Way of the Wicked,demon
Defendor,delusion
Hits,delusion
Delta Force 2: The Colombian Connection,delta force
Twins,delivery
Alien Nation,delinquency
DÃ©jÃ  Vu,deja vu
Groundhog Day,deja vu
Evita,deification
Revenge of the Nerds,defenestration
A Boy and His Dog,decoy
Absentia,declared dead
She-Devil,deceived wive
The Pick-up Artist,debt
Star Wars: Episode III - Revenge of the Sith,death star
Infamous,death penalty
Red Corner,death penalty
True Crime,death penalty
Without a Paddle,death of a friend
Wrong Turn,death of a friend
Dark Was the Night,death of a child
The Tortured,death of a child
Raze,death match
Goin' South,death by hanging
Final Destination 5,death by accident
La Bamba,death
Star Trek: Generations,death
"See No Evil,deafness
Johnny Got His Gun,deaf-mute
Orphan,deaf-mute
There Will Be Blood,deaf-mute
Flypaper,dead woman
Away We Go,dead father
Night of the Lepus,dead family
Sabotage,dea
All Star Superman,dc comics
Batman & Robin,dc comics
Batman Begins,dc comics
Batman Beyond: Return of the Joker,dc comics
Batman,dc comics
Batman,dc comics
Batman: Assault on Arkham,dc comics
Batman: Mystery of the Batwoman,dc comics
Batman: Year One,dc comics
Green Lantern,dc comics
Jonah Hex,dc comics
Justice League: Gods and Monsters,dc comics
Justice League: The Flashpoint Paradox,dc comics
Man of Steel,dc comics
Superman II,dc comics
Superman III,dc comics
Superman Returns,dc comics
Superman vs. The Elite,dc comics
Superman: Doomsday,dc comics
Superman: Unbound,dc comics
Days of Thunder,daytona
Doug's 1st Movie,daydream
Commando,daughter
Dan in Real Life,daughter
Hands of the Ripper,daughter
Haven,daughter
Hunt to Kill,daughter
Jersey Girl,daughter
Lost Souls,daughter
Matchstick Men,daughter
On Golden Pond,daughter
Phenomena,daughter
Phoebe in Wonderland,daughter
Reclaim,daughter
Rumor Has It...,daughter
Sometimes They Come Back... Again,daughter
Underworld: Awakening,daughter
"Hello,dating
Date Movie,date
Megamind,date
Prime,date
The Heartbreak Kid,date
The Pyramid,darkness
Vanishing on 7th Street,darkness
Down Terrace,dark comedy
Juan de los Muertos,dark comedy
Kill Me Three Times,dark comedy
Nurse 3-D,dark comedy
Young Adult,dark comedy
Billy Bathgate,dangerous
Hellfighters,dangerous
The Lair of the White Worm,dangerous
Altitude,danger
Billy Elliot,dancing class
A Little Chaos,dancing
Ballet Shoes,dancing
Dancer in the Dark,dancing
Fish Tank,dancing
Honey,dancing
Mary Poppins,dancing
Paradise Alley,dancing
Psycho Beach Party,dancing
The Tailor of Panama,dancing
Zandalee,dancing
Footloose,dancer
Footloose,dancer
Frankie & Alice,dancer
Strictly Ballroom,dancer
The Adjustment Bureau,dancer
Dance-Off,dance-off
Fame,dance performance
Saturday Night Fever,dance performance
You Got Served,dance performance
Step Up Revolution,dance instructor
Step Up All In,dance contest
Barbie in the 12 Dancing Princesses,dance
Bring It On: All or Nothing,dance
Dance With Me,dance
Dance of the Dead,dance
Flashdance,dance
Honey 2,dance
Take the Lead,dance
Forget Paris,dallas
Evan Almighty,daily life
The Ugly Dachshund,dachshund
The Americanization of Emily,d-day
Love Punch,cÃ´te d'azur
Battlestar Galactica: The Plan,cylon
American Flyers,cycling
Hardcore Henry,cyborg
JLA Adventures: Trapped in Time,cyborg
Natural City,cyborg
Nazis at the Center of the Earth,cyborg
RoboCop,cyborg
The Terminators,cyborg
Treasure Planet,cyborg
ã‚¢ãƒƒãƒ—ãƒ«ã‚·ãƒ¼ãƒ‰,cyborg
We Are Legion: The Story of the Hacktivists,cyber
Camp Nowhere,cutting the cord
Kramer vs. Kramer,custody battle
Avalanche Sharks,curse
Thinner,curse
Fools Rush In,culture clash
The Infidel,culture clash
The Last Keepers,culture clash
Martha Marcy May Marlene,cult
The House of the Devil,cult
The Last Mimzy,cuddle rabbit
Elegy,cuban
GoldenEye,cuba
The Road to Guantanamo,cuba
Nowhere Boy,crying
Miami Vice,crushed throat
Lucky,crush
The Great Gatsby,crush
Kingdom of Heaven,crusade
Robin and Marian,crusade
Burke & Hare,cruelty
House at the End of the Street,cross dressing
Crocodile Dundee II,crocodile
Mega Shark vs. Crocosaurus,crocodile
Pawn,criminal past
Beyond a Reasonable Doubt,criminal
Cold Comes the Night,criminal
Contraband,criminal
Family Business,criminal
The Newton Boys,crime spree
Scooby-Doo Meets the Boo Brothers,crime solving
Dick Tracy,crime fighter
Kindergarten Cop,crime fighter
RoboCop,crime fighter
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,crime fighter
The Dark Knight Rises,crime fighter
The Dark Knight,crime fighter
The Killer Inside Me,crime fighter
Force of Execution,crime boss
The Bag Man,crime boss
A Most Violent Year,crime
Rise of the Footsoldier,crime
The Jinx: The Life and Deaths of Robert Durst,crime
Sharknado 2: The Second One,creature
Hollywood Ending,creative crisis
Expelled: No Intelligence Allowed,creationism
Dr. Terror's House of Horrors,crawling hand
After,crash
Christmas Incorporated,coworker relationship
Bronco Billy,cowboys
Cahill U.S. Marshal,cowboy and outlaw
